"TIME","GEO","SEX","UNIT","Value","Flag and Footnotes"
"2020W04","AT212","Insgesamt","Anzahl","26","p"
"2020W04","AT212","Männer","Anzahl","12","p"
"2020W04","AT212","Frauen","Anzahl","14","p"
"2020W04","AT213","Insgesamt","Anzahl","39","p"
"2020W04","AT213","Männer","Anzahl","23","p"
"2020W04","AT213","Frauen","Anzahl","16","p"
"2020W04","AT221","Insgesamt","Anzahl","64","p"
"2020W04","AT221","Männer","Anzahl","40","p"
"2020W04","AT221","Frauen","Anzahl","24","p"
"2020W04","AT222","Insgesamt","Anzahl","17","p"
"2020W04","AT222","Männer","Anzahl","6","p"
"2020W04","AT222","Frauen","Anzahl","11","p"
"2020W04","AT223","Insgesamt","Anzahl","39","p"
"2020W04","AT223","Männer","Anzahl","17","p"
"2020W04","AT223","Frauen","Anzahl","22","p"
"2020W04","AT224","Insgesamt","Anzahl","59","p"
"2020W04","AT224","Männer","Anzahl","25","p"
"2020W04","AT224","Frauen","Anzahl","34","p"
"2020W04","AT225","Insgesamt","Anzahl","40","p"
"2020W04","AT225","Männer","Anzahl","24","p"
"2020W04","AT225","Frauen","Anzahl","16","p"
"2020W04","AT226","Insgesamt","Anzahl","20","p"
"2020W04","AT226","Männer","Anzahl","10","p"
"2020W04","AT226","Frauen","Anzahl","10","p"
"2020W04","AT311","Insgesamt","Anzahl","53","p"
"2020W04","AT311","Männer","Anzahl","31","p"
"2020W04","AT311","Frauen","Anzahl","22","p"
"2020W04","AT312","Insgesamt","Anzahl","112","p"
"2020W04","AT312","Männer","Anzahl","55","p"
"2020W04","AT312","Frauen","Anzahl","57","p"
"2020W04","AT313","Insgesamt","Anzahl","33","p"
"2020W04","AT313","Männer","Anzahl","16","p"
"2020W04","AT313","Frauen","Anzahl","17","p"
"2020W04","AT314","Insgesamt","Anzahl","30","p"
"2020W04","AT314","Männer","Anzahl","15","p"
"2020W04","AT314","Frauen","Anzahl","15","p"
"2020W04","AT315","Insgesamt","Anzahl","49","p"
"2020W04","AT315","Männer","Anzahl","21","p"
"2020W04","AT315","Frauen","Anzahl","28","p"
"2020W04","AT321","Insgesamt","Anzahl","2","p"
"2020W04","AT321","Männer","Anzahl","1","p"
"2020W04","AT321","Frauen","Anzahl","1","p"
"2020W04","AT322","Insgesamt","Anzahl","40","p"
"2020W04","AT322","Männer","Anzahl","18","p"
"2020W04","AT322","Frauen","Anzahl","22","p"
"2020W04","AT323","Insgesamt","Anzahl","62","p"
"2020W04","AT323","Männer","Anzahl","32","p"
"2020W04","AT323","Frauen","Anzahl","30","p"
"2020W04","AT331","Insgesamt","Anzahl","5","p"
"2020W04","AT331","Männer","Anzahl","2","p"
"2020W04","AT331","Frauen","Anzahl","3","p"
"2020W04","AT332","Insgesamt","Anzahl","62","p"
"2020W04","AT332","Männer","Anzahl","30","p"
"2020W04","AT332","Frauen","Anzahl","32","p"
"2020W04","AT333","Insgesamt","Anzahl","10","p"
"2020W04","AT333","Männer","Anzahl","6","p"
"2020W04","AT333","Frauen","Anzahl","4","p"
"2020W04","AT334","Insgesamt","Anzahl","15","p"
"2020W04","AT334","Männer","Anzahl","8","p"
"2020W04","AT334","Frauen","Anzahl","7","p"
"2020W04","AT335","Insgesamt","Anzahl","41","p"
"2020W04","AT335","Männer","Anzahl","19","p"
"2020W04","AT335","Frauen","Anzahl","22","p"
"2020W04","AT341","Insgesamt","Anzahl","13","p"
"2020W04","AT341","Männer","Anzahl","6","p"
"2020W04","AT341","Frauen","Anzahl","7","p"
"2020W04","AT342","Insgesamt","Anzahl","51","p"
"2020W04","AT342","Männer","Anzahl","26","p"
"2020W04","AT342","Frauen","Anzahl","25","p"
"2020W05","AT111","Insgesamt","Anzahl","8","p"
